Composition,Volume (nm^3),rA (Å),rB (Å),rA/rB,xO48f,Lattice constant (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),ρmea (g/cm3),ρcal (g/cm3),Relative density,Direct Band Gap,Indirect Band Gap,Phase,Method,Bulk Modulus (GPa),Shear Modulus (GPa),Vickers Hardness (GPa),Young's Modulus (GPa),Fracture Toughness (Mpa*m^.5),Thermal Expansion (K^-1),Thermal Expansion at high temp,Thermal Conductivity (W/mK),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),Activation Energy (eV),Poissons Ratio,Mole Mass (g/mol),Sintering process,Source DOI,Source Title,Year,,,,
(La₀.₂Nd₀.₂Sm₀.₂Eu₀.₂Gd₀.₂)₂Zr₂O₇,,1.093,0.72,1.519,,,,,,,,96,,,P,,,,10.75,,,,11.03,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117591,Novel (La0.2Ce0.2Pr0.2Nd0.2Gd0.2)2Hf2O7 high-entropy pyrochlore oxide as a promising TBC material ,2025,,,,
(Sm₀.₂Yb₀.₂Gd₀.₂Er₀.₂Dy₀.₂)₂Ti₂O₇,,1.03,0.605,1.702,,,,,,,,99,,,P,,,,9.9,,,,,1.55*,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117592,Novel (La0.2Ce0.2Pr0.2Nd0.2Gd0.2)2Hf2O7 high-entropy pyrochlore oxide as a promising TBC material ,2025,,,,
(La₀.₂Gd₀.₂Y₀.₂Sm₀.₂Ce₀.₂)₂Zr₂O₇,,1.091,0.72,1.515,,,,,,,,96,3.1,,P,,,,6.61,,1.27,,11.1,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117593,Novel (La0.2Ce0.2Pr0.2Nd0.2Gd0.2)2Hf2O7 high-entropy pyrochlore oxide as a promising TBC material ,2025,,,,
La₂Hf₂O₇,,1.16,0.71,1.634,,,,,,,,92,,,SP,,,,9.81,,2.27,,8.88,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117594,Novel (La0.2Ce0.2Pr0.2Nd0.2Gd0.2)2Hf2O7 high-entropy pyrochlore oxide as a promising TBC material ,2025,,,,
Gd₂Hf₂O₇,,1.053,0.71,1.483,,,,,,,,90,,,SP,,,,7.1,,,,11.5,1.84*,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117595,Novel (La0.2Ce0.2Pr0.2Nd0.2Gd0.2)2Hf2O7 high-entropy pyrochlore oxide as a promising TBC material ,2025,,,,
(La₀.₂Ce₀.₂Pr₀.₂Nd₀.₂Gd₀.₂)₂Hf₂O₇,,1.118,0.71,1.575,0.33,,,2.45,,7.88,8.078,97.54,2.28,1.69,P,,,,12.54,,2.51,0.00000778*,11.27,1.48*,,0.42*,,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117596,Novel (La0.2Ce0.2Pr0.2Nd0.2Gd0.2)2Hf2O7 high-entropy pyrochlore oxide as a promising TBC material ,2025,,,,
(Sm0.2Eu0.2Gd0.2Y0.2Lu0.2)2Ti2O7,,,,,,,,,,,,,,,P,,,,9.04,,,,,,,,,,,,https://doi.org/10.1016/j.nimb.2022.10.011,Mechanical property and irradiation resistance of high entropy pyrochlore (Sm0.2Eu0.2Gd0.2Y0.2Lu0.2)2Ti2O7 ,2022,,,,
Sm2Ti2O7,,,,,,,,,,,,,,,SP,,,,2.21,,,,,,,,,,,,https://doi.org/10.1016/j.nimb.2022.10.012,Mechanical property and irradiation resistance of high entropy pyrochlore (Sm0.2Eu0.2Gd0.2Y0.2Lu0.2)2Ti2O7 ,2022,,,,
Eu2Ti2O7,,,,,,,,,,,,,,,SP,,,,3.12,,,,,,,,,,,,https://doi.org/10.1016/j.nimb.2022.10.013,Mechanical property and irradiation resistance of high entropy pyrochlore (Sm0.2Eu0.2Gd0.2Y0.2Lu0.2)2Ti2O7 ,2022,,,,
Y2Ti2O7,,,,,,,,,,,,,,,SP,,,,4.16,,,,,,,,,,,,https://doi.org/10.1016/j.nimb.2022.10.014,Mechanical property and irradiation resistance of high entropy pyrochlore (Sm0.2Eu0.2Gd0.2Y0.2Lu0.2)2Ti2O7 ,2022,,,,
Gd2Ti2O7,,,,,,,,,,,,,,,SP,,,,6.96,,,,,,,,,,,,https://doi.org/10.1016/j.nimb.2022.10.015,Mechanical property and irradiation resistance of high entropy pyrochlore (Sm0.2Eu0.2Gd0.2Y0.2Lu0.2)2Ti2O7 ,2022,,,,
Lu2Ti2O7,,,,,,,,,,,,,,,SP,,,,9.51,,,,,,,,,,,,https://doi.org/10.1016/j.nimb.2022.10.016,Mechanical property and irradiation resistance of high entropy pyrochlore (Sm0.2Eu0.2Gd0.2Y0.2Lu0.2)2Ti2O7 ,2022,,,,
Gd₂(Ti₁/₂Zr₁/₂)₂O₇,,,,,,,,,,,,95,,,P,,,,,,,,,2.24*,0.60*,0.58*,,,,,https://doi.org/10.1016/j.mtcomm.2024.108718,The effect of dual-sites high-entropy strategy on thermal conductivity of pyrochlore ceramics ,2024,,,,
Gd₂(Ti₁/₃Zr₁/₃Sn₁/₃)₂O₇,,,,,,,,,,,,95,,,P,,,,,,,,,1.87*,0.53*,0.52*,,,,,https://doi.org/10.1016/j.mtcomm.2024.108719,The effect of dual-sites high-entropy strategy on thermal conductivity of pyrochlore ceramics ,2024,,,,
Gd₂(Ti₁/₄Zr₁/₄Sn₁/₄Hf₁/₄)₂O₇,,,,,,,,,,,,95,,,P,,,,,,,,,1.61*,0.47*,0.46*,,,,,https://doi.org/10.1016/j.mtcomm.2024.108720,The effect of dual-sites high-entropy strategy on thermal conductivity of pyrochlore ceramics ,2024,,,,
(Gd₁/₇La₁/₇Nd₁/₇Sm₁/₇Eu₁/₇Dy₁/₇Ho₁/₇)₂(Ti₁/₄Zr₁/₄Sn₁/₄Hf₁/₄)₂O₇,,,,,,,0.085,,,,,95,,,P,,,,,,,,,1.37*,0.46*,0.41*,,,,,https://doi.org/10.1016/j.mtcomm.2024.108721,The effect of dual-sites high-entropy strategy on thermal conductivity of pyrochlore ceramics ,2024,,,,
Gd₂Zr₂O₇,,1.053,0.72,1.4645,0.34093,10.53931,,,,,,,,,SP,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2019.12.008,Synthesis and structures of high-entropy pyrochlore oxides ,2019,,,,
(Gd₁/₂Eu₁/₂)₂Zr₂O₇,,1.0595,0.72,1.4735,0.33365,10.55246,,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2019.12.009,Synthesis and structures of high-entropy pyrochlore oxides ,2019,,,,
(Gd₁/₃Eu₁/₃Sm₁/₃)₂Zr₂O₇,,1.066,0.72,1.4826,0.33438,10.56785,,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2019.12.010,Synthesis and structures of high-entropy pyrochlore oxides ,2019,,,,
(Gd₁/₄Eu₁/₄Sm₁/₄Nd₁/₄)₂Zr₂O₇,,1.0768,0.72,1.4975,0.33682,10.59656,,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2019.12.011,Synthesis and structures of high-entropy pyrochlore oxides ,2019,,,,
(Gd₁/₅Eu₁/₅Sm₁/₅Nd₁/₅La₁/₅)₂Zr₂O₇,,1.0934,0.72,1.5179,0.33931,10.66488,,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2019.12.012,Synthesis and structures of high-entropy pyrochlore oxides ,2019,,,,
(Gd₁/₆Eu₁/₆Sm₁/₆Nd₁/₆La₁/₆Dy₁/₆)₂Zr₂O₇,,1.0823,0.72,1.503,0.33311,10.61128,,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2019.12.013,Synthesis and structures of high-entropy pyrochlore oxides ,2019,,,,
(Gd₁/₇Eu₁/₇Sm₁/₇Nd₁/₇La₁/₇Dy₁/₇Ho₁/₇)₂Zr₂O₇,,1.0727,0.72,1.4899,0.33133,10.58564,,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2019.12.014,Synthesis and structures of high-entropy pyrochlore oxides ,2019,,,,
(La0.2Nd0.2Sm0.2Gd0.2Yb0.2)2Zr2O7,,,,,,,,87.99,,,,,,,P,,,,,,,,,0.102,,,,,,,https://doi.org/10.1016/j.scriptamat.2020.113714,Pyrochlore-fluorite dual-phase high-entropy ceramic foams with extremely low thermal conductivity from particle-stabilized suspension,2020,,,,
(La0.2Nd0.2Sm0.2Gd0.2Yb0.2)2Zr2O7,,,,,,,,96.89,,,,,,,P,,,,,,,,,0.045,,,,,,,https://doi.org/10.1016/j.scriptamat.2020.113715,Pyrochlore-fluorite dual-phase high-entropy ceramic foams with extremely low thermal conductivity from particle-stabilized suspension,2020,,,,
(Nd0.4Ce0.15Sm0.15Eu0.15Yb0.15)2Zr2O6,,,,,,10.57,,0,,,,,,,P,,164.6,105.7,18.2,259.5,,,11.77,1.74*,,,,0.24,,,https://doi.org/10.1016/j.ceramint.2025.09.271  ,Unveiling elastic and thermal properties of Nd-rich high-entropy zirconate by experiments and ab initio calculations ,2025,,,,
(Nd0.4Ce0.15Sm0.15Eu0.15Yb0.15)2Zr2O7,,,,,,10.57,,5.6,,,,,,,P,,164.6,105.7,18.2,259.5,,,11.77,1.60*,,,,0.24,,,https://doi.org/10.1016/j.ceramint.2025.09.271  ,Unveiling elastic and thermal properties of Nd-rich high-entropy zirconate by experiments and ab initio calculations ,2025,,,,
Nd2Zr2O7,,,,,,10.57,,,,,,,,,SP,,172.4,99.2,12.4,249.8,,,10.1*,2.10*,,,,0.26,,,https://doi.org/10.1016/j.ceramint.2025.09.271  ,Unveiling elastic and thermal properties of Nd-rich high-entropy zirconate by experiments and ab initio calculations ,2025,,,,
(La0.2Y0.2Gd0.2Sm0.2Nd0.2)2Zr2O7,,,,,,,,88,,0.39,,,,,P,,,,,,,,,0.044,,,,,,,https://doi.org/10.1016/j.ceramint.2023.11.214  ,Thermal insulating and mechanical properties of high entropy pyrochlore oxide ceramic with hierarchical porous structures ,2023,,,,
(La0.16Ce0.04Y0.2Gd0.2Sm0.2Nd0.2)2Zr2O7,,,,,,,,83,,0.44,,,,,P,,,,,,,,,0.047,,,,,,,https://doi.org/10.1016/j.ceramint.2023.11.214  ,Thermal insulating and mechanical properties of high entropy pyrochlore oxide ceramic with hierarchical porous structures ,2023,,,,
(La0.12Ce0.08Y0.2Gd0.2Sm0.2Nd0.2)2Zr2O7,,,,,,,,76,,0.51,,,,,P,,,,,,,,,0.052,,,,,,,https://doi.org/10.1016/j.ceramint.2023.11.214  ,Thermal insulating and mechanical properties of high entropy pyrochlore oxide ceramic with hierarchical porous structures ,2023,,,,
(La0.08Ce0.12Y0.2Gd0.2Sm0.2Nd0.2)2Zr2O7,,,,,,,,83,,0.45,,,,,P,,,,,,,,,0.051,,,,,,,https://doi.org/10.1016/j.ceramint.2023.11.214  ,Thermal insulating and mechanical properties of high entropy pyrochlore oxide ceramic with hierarchical porous structures ,2023,,,,
(La0.04Ce0.16Y0.2Gd0.2Sm0.2Nd0.2)2Zr2O7 (G5),,,,,,,,77,,0.51,,,,,P,,,,,,,,,0.057,,,,,,,https://doi.org/10.1016/j.ceramint.2023.11.214  ,Thermal insulating and mechanical properties of high entropy pyrochlore oxide ceramic with hierarchical porous structures ,2023,,,,
(Ce0.2Y0.2Gd0.2Sm0.2Nd0.2)2Zr2O7,,,,,,,,75,,0.52,,,,,P,,,,,,,,,0.056,,,,,,,https://doi.org/10.1016/j.ceramint.2023.11.214  ,Thermal insulating and mechanical properties of high entropy pyrochlore oxide ceramic with hierarchical porous structures ,2023,,,,
Y2(Zr0.2Ti0.2Ge0.2Hf0.2Sn0.2)2O7,,,,1.57,0.33517,10.3222,11.19,,,,5.962,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.027,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Sn0.2Ti0.2Zr0.2Hf0.2Si0.2)2O7,,,,1.63,,,19.13,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.028,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Sn0.2Ti0.2Ge0.2Hf0.2Si0.2)2O7,,,,1.74,,,19.32,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.029,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Sn0.2Ge0.2Zr0.2Ti0.2Si0.2)2O7,,,,1.73,,,19.63,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.030,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.2Ti0.2Ge0.2Hf0.2Si0.2)2O7,,,,1.72,,,20.12,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.031,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Sn0.2Ge0.2Zr0.2Hf0.2Si0.2)2O7,,,,1.67,,,20.61,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.032,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.15Ti0.315Ge0.15Hf0.085Sn0.3)2O7,,,,1.58,0.32959,10.2707,10.16,,,,5.773,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.033,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.315Ti0.15Ge0.3Hf0.15Sn0.085)2O7,,,,1.59,,,12.83,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.034,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Sn0.3Ti0.315Zr0.15Hf0.15Si0.085)2O7,,,,1.58,,,13.57,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.035,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Sn0.3Ti0.315Ge0.15Hf0.15Si0.085)2O7,,,,1.65,,,14.55,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.036,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Sn0.3Ge0.15Zr0.15Ti0.315Si0.085)2O7,,,,1.65,,,14.78,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.037,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.15Ti0.315Ge0.3Hf0.15Si0.085)2O7,,,,1.7,,,15.73,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.038,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Sn0.315Ge0.3Zr0.15Hf0.15Si0.085)2O7,,,,1.63,,,16.62,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.039,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.4Ti0.1Ge0.1Hf0.1Sn0.3)2O7,,,,1.5,0.33143,10.365,8.8,,,,5.893,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.040,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.25Ti0.25Hf0.25Sn0.25)2O7,,,,1.5,0.33535,10.3408,6.65,,,,6.105,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.041,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Ti0.25Ge0.25Hf0.25Sn0.25)2O7,,,,1.61,,,11.32,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.042,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.25Ti0.25Ge0.25Sn0.25)2O7,,,,1.6,,,11.7,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.043,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.25Ti0.25Ge0.25Hf0.25)2O7,,,,1.59,,,12.23,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.044,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.25Ti0.25Si0.25Sn0.25)2O7,,,,1.69,,,20.7,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.045,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.065Ti0.435Hf0.065Sn0.435)2O7,,,,1.55,0.33007,10.2805,6.97,,,,5.746,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.046,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Ti0.435Ge0.065Hf0.065Sn0.435)2O7,,,,1.58,0.3599,10.254,8.08,,,,5.761,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.047,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.065Ti0.435Ge0.065Sn0.435)2O7,,,,1.58,0.33301,10.26,8.21,,,,5.611,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.048,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.435Ti0.435Ge0.065Hf0.065)2O7,,,,1.55,0.33617,10.2694,9.79,,,,5.442,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.049,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
Y2(Zr0.065Ti0.435Si0.065Sn0.435)2O7,,,,1.6,,,11.94,,,,,,,,P,,,,,,,,,,,,,,,1550 ℃ for 5 h,https://doi.org/10.1016/j.jeurceramsoc.2023.12.050,"Design, synthesis, and influencing factors of medium-/high-entropy Y2(ZrTiGeHfSnSi)2O7 with a pyrochlore structure ",2023,,,,
La2(Yb0.25Y0.25Nb0.25Ta0.25)2O7,,,,1.52,,,,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.ceramint.2026.05.006  ,"Ultra-low thermal conductivity and excellent high-temperature phase stability of La2(Yb,Y,Zr,Nb,Ta)2O7 high-entropy pyrochlore oxides ",2026,,,,
La2(Yb0.2375Y0.2375Zr0.05Nb0.2375Ta0.2375)2O7,,,,1.53,,,,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.ceramint.2026.05.006  ,"Ultra-low thermal conductivity and excellent high-temperature phase stability of La2(Yb,Y,Zr,Nb,Ta)2O7 high-entropy pyrochlore oxides ",2026,,,,
La2(Yb0.225Y0.225Zr0.10Nb0.225Ta0.225)2O7,,,,1.53,,,,28.9,,4.72,7.04,,,,P,,,,,,,0.00000944,,1.11*,,,,,,,https://doi.org/10.1016/j.ceramint.2026.05.006  ,"Ultra-low thermal conductivity and excellent high-temperature phase stability of La2(Yb,Y,Zr,Nb,Ta)2O7 high-entropy pyrochlore oxides ",2026,,,,
La2(Yb0.2125Y0.2125Zr0.15Nb0.2125Ta0.2125)2O7,,,,1.54,,,,28.36,,4.76,7.17,,,,P,,,,,,,0.00000991*,,1.13*,,,,,,,https://doi.org/10.1016/j.ceramint.2026.05.006  ,"Ultra-low thermal conductivity and excellent high-temperature phase stability of La2(Yb,Y,Zr,Nb,Ta)2O7 high-entropy pyrochlore oxides ",2026,,,,
La2(Yb0.20Y0.20Zr0.20Nb0.20Ta0.20)2O7,,,,1.54,,10.8308,,19.73,,5.31,6.7,,,,P,,,,,,,0.00000990*,,0.81,,,,,,,https://doi.org/10.1016/j.ceramint.2026.05.006  ,"Ultra-low thermal conductivity and excellent high-temperature phase stability of La2(Yb,Y,Zr,Nb,Ta)2O7 high-entropy pyrochlore oxides ",2026,,,,
La2(Yb0.1875Y0.1875Zr0.25Nb0.1875Ta0.1875)2O7,,,,1.54,,10.817,,29.26,,4.61,6.68,,,,P,,,,,,,0.00000982*,,0.96,,,,,,,https://doi.org/10.1016/j.ceramint.2026.05.006  ,"Ultra-low thermal conductivity and excellent high-temperature phase stability of La2(Yb,Y,Zr,Nb,Ta)2O7 high-entropy pyrochlore oxides ",2026,,,,
La2(Yb0.175Y0.175Zr0.30Nb0.175Ta0.175)2O7,,,,1.55,,10.8078,,25.24,,4.89,6.65,,,,P,,,,,,,0.00000990*,,1.01,,,,,,,https://doi.org/10.1016/j.ceramint.2026.05.006  ,"Ultra-low thermal conductivity and excellent high-temperature phase stability of La2(Yb,Y,Zr,Nb,Ta)2O7 high-entropy pyrochlore oxides ",2026,,,,
(Nd1/5Sm1/5Eu1/5Gd1/5La1/5)2Zr2O7,,,,1.5158,0.34416(79),10.64364(26),3.18,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.3390/ma15010129  ,High-Entropy Pyrochlore A2B2O7 with Both Heavy and Light Rare-Earth Elements at the A Site ,2022,,,,
(Nd1/5Sm1/5Eu1/5Gd1/5Dy1/5)2Zr2O7,,,,1.4817,0.35109(93),10.57011(32),2.55,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.3390/ma15010129  ,High-Entropy Pyrochlore A2B2O7 with Both Heavy and Light Rare-Earth Elements at the A Site ,2022,,,,
(Nd1/5Sm1/5Eu1/5Gd1/5Ho1/5)2Zr2O7,,,,1.4783,0.35412(95),10.55579(30),2.9,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.3390/ma15010129  ,High-Entropy Pyrochlore A2B2O7 with Both Heavy and Light Rare-Earth Elements at the A Site ,2022,,,,
(Nd1/5Sm1/5Eu1/5Gd1/5Er1/5)2Zr2O7,,,,1.4753,0.35504(94),10.56713(28),3.25,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.3390/ma15010129  ,High-Entropy Pyrochlore A2B2O7 with Both Heavy and Light Rare-Earth Elements at the A Site ,2022,,,,
(Nd1/5Sm1/5Eu1/5Gd1/5Tm1/5)2Zr2O7,,,,1.4725,0.35599(99),10.5427(35),3.58,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.3390/ma15010129  ,High-Entropy Pyrochlore A2B2O7 with Both Heavy and Light Rare-Earth Elements at the A Site ,2022,,,,
(Nd1/5Sm1/5Eu1/5Gd1/5Yb1/5)2Zr2O7,,,,1.47,0.35444(92),10.55395(32),3.89,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.3390/ma15010129  ,High-Entropy Pyrochlore A2B2O7 with Both Heavy and Light Rare-Earth Elements at the A Site ,2022,,,,
(Nd1/5Sm1/5Eu1/5Gd1/5Lu1/5)2Zr2O7,,,,1.4686,0.35170(79),10.54532(30),4.06,,,,,,,,P,,,,,,,,,,,,,,,,https://doi.org/10.3390/ma15010129  ,High-Entropy Pyrochlore A2B2O7 with Both Heavy and Light Rare-Earth Elements at the A Site ,2022,,,,
(Gd1/2Y1/2)2Ti2O7,,,,,,,,0.46,3.92,6.2,,,,,P,,,,9.085,208,1.074,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2023.08.009,Phase structure of high-entropy pyrochlore oxides: From powder synthesis to ceramic sintering ,2023,,,,
(Gd1/3Pr1/3Y1/3)2Ti2O7,,,,,,,,0.97,4.83,6.32,,,,,P,,,,9.686,199,0.985,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2023.08.010,Phase structure of high-entropy pyrochlore oxides: From powder synthesis to ceramic sintering ,2023,,,,
(Sm1/4Yb1/4Gd1/4Er1/4)2Ti2O7,,,,,,,,0.13,3.4,6.57,,,,,P,,,,10.24,220,0.623,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2023.08.011,Phase structure of high-entropy pyrochlore oxides: From powder synthesis to ceramic sintering ,2023,,,,
(Sm1/5Yb1/5Gd1/5Er1/5Dy1/5)2Ti2O7,,,,,,,,0.15,2.48,6.52,,,,,P,,,,10.14,221,0.857,,,,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2023.08.012,Phase structure of high-entropy pyrochlore oxides: From powder synthesis to ceramic sintering ,2023,,,,
La2(Mg0.2Zn0.2Ce0.2W0.2Mo0.2)2O7,,,,1.65,,,14.61,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.065,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Zn0.2Yb0.2Y0.2W0.2Mo0.2)2O7,,,,1.57,,,17.53,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.066,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Mg0.2Zn0.2Nb0.2Ta0.2W0.2)2O7,,,,1.74,,,7.94,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.067,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
